dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,Summary,Analytic_Q1,crt2_total,crt2_total,-2.53340815465477,1.3314575281411793,-5.143064909811482,0.0762486005019416,-0.1146194013343254,0.057075395800552944,0.027629628999014666,237,0.22830158320221178,False,False
full,Summary,Analytic_Q1,crt2_total,seen_count,0.8114376220115989,0.43430167299004957,-0.03979365704889826,1.662668901072096,0.12442559229858399,0.061710064984375104,0.027629628999014666,237,0.12342012996875021,False,False
full,Summary,Analytic_Q1,bcrt_core3,bcrt_core3_total,0.7798469526746583,1.3659502868453455,-1.8974156095422186,3.457109514891535,0.03418777421287149,0.5680545604177328,0.015582218768352196,237,0.6492052119059804,False,False
full,Summary,Analytic_Q1,bcrt_core3,seen_count,0.7395998784992773,0.44435422398573593,-0.13133440051276513,1.61053415751132,0.1134100150768187,0.09602501116977007,0.015582218768352196,237,0.19205002233954013,False,False
full,Summary,Analytic_Q1,bcrt_core4,bcrt_core4_total,0.6379121173454408,1.200886561324252,-1.715825542850093,2.991649777540975,0.0330371373203638,0.5952795144614051,0.015497494423388658,237,0.6803194450987488,False,False
full,Summary,Analytic_Q1,bcrt_core4,seen_count,0.7349617241972303,0.44860260192952234,-0.14429937558463346,1.6142228239790941,0.11269880194034401,0.10135165354315942,0.015497494423388658,237,0.20270330708631884,False,False
full,Summary,Analytic_Q1,crt2_plus_core3,crt2_plus_core3_total,-0.8150574719061109,0.872265661893303,-2.5246981692169848,0.8945832254047631,-0.05654410090842285,0.3500902453820729,0.017563756198378577,237,0.7001804907641458,False,False
full,Summary,Analytic_Q1,crt2_plus_core3,seen_count,0.8473858425962759,0.44364579543798,-0.022159916462164864,1.7169316016547167,0.12993788124969285,0.05612672042781974,0.017563756198378577,237,0.11225344085563949,False,False
full,Summary,Analytic_Q1,crt2_plus_core4,crt2_plus_core4_total,-0.6386295194422844,0.8074282296801731,-2.221188849615424,0.9439298107308549,-0.04902993197532938,0.42897738939342855,0.01678143175506186,237,0.5901894692790672,False,False
full,Summary,Analytic_Q1,crt2_plus_core4,seen_count,0.8482848698332357,0.44680452744249327,-0.02745200395405112,1.7240217436205225,0.13007573780627446,0.05762245017078677,0.01678143175506186,237,0.11524490034157354,False,False
full,Summary,Analytic_Q2,crt2_total,crt2_total,-0.640717983860011,1.2138077803904048,-3.0197812334252045,1.7383452657051823,-0.029816096691689307,0.5975979909791731,0.0009681233605713935,240,0.7967973213055641,False,False
full,Summary,Analytic_Q2,crt2_total,seen_count,-0.05306642952078876,0.3862726926128841,-0.8101609070420416,0.704028048000464,-0.008369612424082929,0.890729851560012,0.0009681233605713935,240,0.9812278487109842,False,False
full,Summary,Analytic_Q2,bcrt_core3,bcrt_core3_total,1.6792800834182144,1.425835750224988,-1.1153579870227621,4.4739181538591914,0.07572085118511751,0.23889571983899627,0.0055575945663426385,240,0.47779143967799254,False,False
full,Summary,Analytic_Q2,bcrt_core3,seen_count,-0.15784405229247978,0.3742320627186887,-0.8913388952211097,0.5756507906361501,-0.02489509004213664,0.6731847218254279,0.0055575945663426385,240,0.769353967800489,False,False
full,Summary,Analytic_Q2,bcrt_core4,bcrt_core4_total,0.8698257147299187,1.1111417511959378,-1.3080121176141193,3.047663547073957,0.046334523566266515,0.43373190727324074,0.002102438162701614,240,0.5783092096976543,False,False
